wavelength,D50,D55,D65,D75
347,0.201052188,0.266839951,0.4354455,0.612832917
348,0.20413681,0.270904437,0.44078305,0.618925746
349,0.207195248,0.274742807,0.445473026,0.623970487
350,0.210211626,0.278263223,0.449254235,0.627539724
351,0.213190952,0.281479731,0.452175201,0.629723587
352,0.21613365,0.284382856,0.454227198,0.630526465
353,0.219050165,0.287059866,0.455631619,0.630281257
354,0.221957903,0.289656206,0.456757457,0.629542794
355,0.224869064,0.292275281,0.457881823,0.628742628
356,0.227782262,0.294906088,0.458982723,0.627853638
357,0.230697127,0.297543496,0.460026435,0.626804293
358,0.233620769,0.300261572,0.46134873,0.626248202
359,0.236562109,0.303156874,0.46341637,0.627110296
360,0.239526502,0.306287339,0.46650941,0.629945531
361,0.242470678,0.309613563,0.470559496,0.634636758
362,0.245309206,0.313072144,0.475531087,0.641164266
363,0.248165434,0.316707951,0.481248023,0.649109958
364,0.251244937,0.32059577,0.487416701,0.657777005
365,0.254626408,0.324730066,0.493770609,0.666603038
366,0.258267315,0.329081707,0.500308842,0.675613967
367,0.262254845,0.333730229,0.507122654,0.684928154
368,0.266019099,0.33812674,0.513484725,0.693520987
369,0.26868467,0.341440425,0.518333434,0.69992523
370,0.269726314,0.343172794,0.521031808,0.703260544
371,0.269293359,0.343454125,0.52169558,0.703643524
372,0.267422897,0.342306363,0.520282447,0.700952284
373,0.264453752,0.340075775,0.517355952,0.696072455
374,0.260950631,0.337339472,0.513855334,0.69048009
375,0.257359153,0.334544867,0.51045896,0.685203328
376,0.253654272,0.331663161,0.507100052,0.680122046
377,0.249754238,0.32862201,0.503730563,0.67521386
378,0.246388181,0.326086572,0.500935198,0.67101821
379,0.244593321,0.324996876,0.499497088,0.66819665
380,0.244991992,0.32591694,0.499886111,0.667146113
381,0.247658861,0.328956609,0.502302263,0.668161429
382,0.252988507,0.334552616,0.507289668,0.671899412
383,0.25988935,0.341594366,0.513634329,0.677011485
384,0.266542093,0.348230864,0.519312911,0.681250021
385,0.271904777,0.353432564,0.523244631,0.683441151
386,0.276215565,0.357454006,0.525725574,0.683924474
387,0.279186673,0.359959599,0.526326438,0.682185682
388,0.282405882,0.362870445,0.527593381,0.681320428
389,0.288436792,0.369253291,0.533547971,0.68619695
390,0.298817562,0.380948188,0.54660315,0.69973619
391,0.313099675,0.397439653,0.566120301,0.721192861
392,0.331249451,0.418703492,0.592110101,0.750619302
393,0.352210928,0.443439332,0.622787547,0.785787519
394,0.374224168,0.469479885,0.655177639,0.822984186
395,0.396022859,0.495263834,0.687152846,0.859575618
396,0.41773405,0.520946878,0.718933158,0.895845138
397,0.439441044,0.54663426,0.750641113,0.931915113
398,0.460096274,0.571016931,0.780636423,0.965956638
399,0.478304383,0.592348041,0.806756154,0.995597687
400,0.493228156,0.60957948,0.827702543,1.019415046
401,0.504808947,0.622640956,0.84335633,1.037228912
402,0.512679553,0.631076149,0.85311137,1.04831258
403,0.518103039,0.636459781,0.858990829,1.054995772
